City,Cloudiness,Country,Date,Humidity,Lat,Lon,MaxTemp,WindSpeed
Reconquista,24.0,AR,1553750771.0,75.0,-29.14,-59.64,19.22,5.56
tubruq,,,,,,,,
Luanda,75.0,AO,1553745600.0,88.0,-8.83,13.24,27.0,2.6
kadykchan,,,,,,,,
Kedrovyy,0.0,RU,1553749200.0,44.0,56.17,91.82,5.0,5.0
Soe,0.0,EE,1553750296.0,86.0,57.91,26.05,0.56,5.1
Clyde River,1.0,CA,1553749200.0,83.0,70.47,-68.59,-23.0,2.1
Acapulco,5.0,MX,1553748000.0,78.0,16.86,-99.88,26.0,1.5
Poum,80.0,MK,1553750776.0,59.0,41.28,20.71,1.07,0.91
Tuktoyaktuk,20.0,CA,1553745600.0,92.0,69.44,-133.03,-8.0,5.7
Nova Granada,0.0,BR,1553749200.0,78.0,-20.53,-49.32,23.0,3.6
Ribeira Grande,12.0,PT,1553750703.0,100.0,38.52,-28.7,14.27,6.01
Vila Franca do Campo,20.0,PT,1553750725.0,71.0,37.72,-25.43,13.0,4.6
Makakilo City,1.0,US,1553750590.0,69.0,21.35,-158.09,25.0,5.7
Beni Mazar,0.0,EG,1553750547.0,52.0,28.5,30.8,14.82,2.01
Baykalsk,12.0,RU,1553750729.0,36.0,51.52,104.15,0.56,2.24
Mahebourg,75.0,MU,1553750646.0,74.0,-20.41,57.7,29.0,5.7
Salalah,0.0,OM,1553748600.0,58.0,17.01,54.1,28.0,1.5
Kampene,64.0,CD,1553750778.0,96.0,-3.59,26.67,21.07,1.31
Bambous Virieux,75.0,MU,1553750646.0,74.0,-20.34,57.76,29.0,5.7
Tura,0.0,IN,1553750769.0,76.0,25.52,90.21,25.42,1.71
babanusah,,,,,,,,
Katsuura,75.0,JP,1553749470.0,51.0,33.93,134.5,17.0,5.1
Zwedru,48.0,LR,1553750779.0,93.0,6.07,-8.13,21.92,1.51
Adamas,92.0,GR,1553748600.0,71.0,36.73,24.43,14.0,4.6
Fortuna,0.0,ES,1553750754.0,52.0,38.18,-1.13,9.0,1.11
Acheng,0.0,CN,1553745600.0,19.0,45.55,126.95,3.0,4.0
Kaitangata,0.0,NZ,1553750716.0,64.0,-46.28,169.85,15.56,2.68
Toktogul,80.0,KG,1553750652.0,63.0,41.87,72.95,8.47,0.86
Voerde,75.0,DE,1553750779.0,87.0,51.6,6.68,8.89,0.5
Longyearbyen,64.0,NO,1553750781.0,80.0,78.22,15.63,-12.84,1.76
Norman Wells,90.0,CA,1553745600.0,93.0,65.28,-126.83,3.0,3.1
Tateyama,75.0,JP,1553750690.0,61.0,36.66,137.31,10.56,0.5
Wilmington,1.0,US,1553750719.0,69.0,39.75,-75.55,2.0,3.1
Bredasdorp,36.0,ZA,1553750129.0,87.0,-34.53,20.04,16.67,2.6
Rome,0.0,IT,1553750590.0,49.0,41.89,12.48,9.44,3.1
Murray Bridge,24.0,AU,1553750746.0,28.0,-35.12,139.28,28.89,2.24
Cidreira,64.0,BR,1553750783.0,75.0,-30.17,-50.22,20.67,5.26
Half Moon Bay,90.0,US,1553750780.0,82.0,37.46,-122.43,13.33,4.1
palabuhanratu,,,,,,,,
Elizabeth City,1.0,US,1553750612.0,75.0,36.3,-76.22,8.0,3.6
betioky,,,,,,,,
Quatre Cocos,75.0,MU,1553750646.0,74.0,-20.21,57.76,29.0,5.7
Cap Malheureux,75.0,MU,1553750646.0,74.0,-19.98,57.61,29.0,5.7
phan rang,,,,,,,,
Passo de Camaragibe,20.0,BR,1553749200.0,94.0,-9.24,-35.49,24.0,1.0
Victoria,75.0,BN,1553747400.0,74.0,5.28,115.24,31.0,3.6
Mar del Plata,12.0,AR,1553750575.0,71.0,-46.43,-67.52,10.47,4.46
Dekar,12.0,BW,1553750786.0,64.0,-21.53,21.93,21.32,5.31
cockburn harbour,,,,,,,,
barentsburg,,,,,,,,
Lincoln,75.0,GB,1553750701.0,80.0,53.23,-0.54,7.22,1.5
Avera,1.0,US,1553750739.0,60.0,33.19,-82.53,6.0,2.1
Kambove,8.0,CD,1553750787.0,78.0,-10.88,26.6,20.92,3.86
Kabanjahe,20.0,ID,1553749200.0,59.0,3.1,98.49,32.0,2.6
Manbij,20.0,SY,1553748600.0,100.0,36.53,37.96,6.0,0.5
Taoudenni,0.0,ML,1553750788.0,68.0,22.68,-3.98,14.97,1.26
Komsomolskiy,76.0,RU,1553750788.0,94.0,67.55,63.78,-4.44,6.61
Baijiantan,24.0,CN,1553750657.0,81.0,45.63,85.18,12.92,3.31
Metro,68.0,ID,1553750789.0,90.0,-5.11,105.31,29.07,2.41
Laguna,12.0,MX,1553750789.0,66.0,27.52,-110.01,15.47,0.86
Aquiraz,75.0,BR,1553750289.0,94.0,-3.9,-38.39,25.0,1.5
Mulchen,8.0,CL,1553750790.0,83.0,-37.72,-72.23,8.47,1.06
Chuy,8.0,UY,1553750790.0,89.0,-33.69,-53.46,15.92,4.26
Marzuq,0.0,YE,1553750790.0,43.0,14.4,46.47,23.72,1.61
Tiksi,8.0,RU,1553750790.0,68.0,71.64,128.87,-9.09,6.31
Kodiak,1.0,US,1553750650.0,63.0,39.95,-94.76,16.67,5.7
Creel,12.0,MX,1553750791.0,32.0,27.75,-107.63,9.97,2.26
Sao Joao da Barra,92.0,BR,1553750791.0,99.0,-21.64,-41.05,26.82,5.41
Havoysund,75.0,NO,1553748600.0,69.0,71.0,24.66,1.0,12.3
Richards Bay,0.0,ZA,1553750792.0,80.0,-28.77,32.06,23.32,6.21
Lata,12.0,IN,1553750792.0,68.0,30.78,78.62,16.57,0.71
Baykit,32.0,RU,1553750792.0,74.0,61.68,96.39,-0.19,1.71
Tutoia,56.0,BR,1553750793.0,97.0,-2.76,-42.27,24.77,1.86
Ugoofaaru,0.0,MV,1553750690.0,100.0,5.67,73.0,28.97,3.21
Aklavik,75.0,CA,1553749200.0,86.0,68.22,-135.01,-3.0,2.1
Beloomut,76.0,RU,1553750610.0,74.0,54.94,39.34,-1.67,3.13
Uusikaupunki,0.0,FI,1553748600.0,100.0,60.8,21.41,-3.0,2.6
Namatanai,0.0,PG,1553750692.0,92.0,-3.66,152.44,29.37,6.81
Vardo,1.0,US,1553750595.0,80.0,39.62,-77.74,4.0,2.46
Vanimo,64.0,PG,1553750698.0,100.0,-2.67,141.3,28.27,3.56
Gasa,0.0,BT,1553750794.0,81.0,27.91,89.73,-6.69,0.41
Sa Kaeo,36.0,TH,1553750795.0,63.0,13.8,102.09,33.02,3.56
North Bend,40.0,US,1553750718.0,76.0,43.41,-124.22,9.0,2.6
Port Hardy,5.0,CA,1553745600.0,86.0,50.7,-127.42,5.0,1.5
Puerto Escondido,0.0,MX,1553750795.0,99.0,15.86,-97.07,28.62,5.61
Yarkovo,0.0,RU,1553749200.0,74.0,54.81,82.6,1.0,2.0
Aasiaat,64.0,GL,1553750796.0,99.0,68.71,-52.87,-11.29,1.41
Marsh Harbour,0.0,BS,1553750506.0,100.0,26.54,-77.06,20.07,4.26
Swan River,36.0,CA,1553750796.0,78.0,52.11,-101.27,-1.34,3.51
Takaka,0.0,NZ,1553750650.0,61.0,-40.86,172.81,20.0,1.34
karkaralinsk,,,,,,,,
Linxia,0.0,CN,1553750797.0,22.0,35.6,103.21,10.92,3.11
Bethel,75.0,US,1553748960.0,80.0,60.79,-161.76,2.0,1.5
Guararapes,68.0,BR,1553750798.0,64.0,-21.25,-50.65,25.67,5.86
Eyl,0.0,SO,1553750798.0,90.0,7.98,49.82,27.12,2.71
Beringovskiy,0.0,RU,1553750674.0,86.0,63.05,179.32,-5.44,4.51
Auki,8.0,NG,1553750799.0,28.0,12.18,6.51,20.82,5.01
Tuatapere,0.0,NZ,1553750406.0,68.0,-46.13,167.69,16.11,2.66
Nouakchott,0.0,MR,1553747400.0,88.0,18.08,-15.98,17.0,4.1
Mocuba,92.0,MZ,1553750800.0,99.0,-16.84,36.99,23.42,3.41
Ponta do Sol,100.0,BR,1553750750.0,58.0,-20.63,-46.0,23.57,3.86
khonuu,,,,,,,,
Kamenka,0.0,RU,1553750800.0,91.0,53.19,44.05,-3.64,3.76
Brokopondo,0.0,SR,1553749200.0,94.0,5.06,-54.98,24.0,1.0
Koster,0.0,ZA,1553750801.0,76.0,-25.86,26.9,18.42,2.86
Henties Bay,64.0,NA,1553749332.0,93.0,-22.12,14.28,16.11,1.41
Santa Marinella,0.0,IT,1553750732.0,96.0,42.04,11.87,9.44,5.1
Inhambane,20.0,MZ,1553745600.0,94.0,-23.87,35.38,20.0,2.71
Kaseda,75.0,JP,1553749944.0,67.0,31.42,130.32,16.0,1.0
Macae,0.0,BR,1553749200.0,74.0,-22.37,-41.79,26.0,4.1
Lander,1.0,US,1553750270.0,32.0,42.83,-108.73,7.0,3.6
mys shmidta,,,,,,,,
Chojnow,75.0,PL,1553750795.0,93.0,51.27,15.94,7.22,4.1
Baherden,32.0,TM,1553750809.0,100.0,38.44,57.43,11.07,1.61
Vallenar,0.0,CL,1553750809.0,73.0,-28.58,-70.76,10.32,0.51
Rajapur,0.0,IN,1553750810.0,30.0,25.39,81.15,33.97,2.01
longlac,,,,,,,,
Jacareacanga,12.0,BR,1553750810.0,90.0,-6.22,-57.76,24.27,0.61
Esperance,20.0,TT,1553750707.0,88.0,10.24,-61.45,24.0,1.5
bengkulu,,,,,,,,
safaga,,,,,,,,
Mackay,90.0,CA,1553749200.0,86.0,53.65,-115.58,-1.0,1.0
lago da pedra,,,,,,,,
San Juan,1.0,PR,1553750736.0,78.0,18.47,-66.12,25.0,1.5
Ivanivka,0.0,UA,1553749200.0,77.0,46.98,30.46,0.0,2.0
Yumen,76.0,CN,1553750814.0,46.0,40.29,97.04,8.62,1.86
Baghdad,0.0,IQ,1553749200.0,71.0,33.3,44.38,14.0,3.6
Freeport,36.0,BS,1553750785.0,100.0,26.54,-78.7,19.82,2.86
karaul,,,,,,,,
Hobyo,0.0,SO,1553750814.0,74.0,5.35,48.53,29.02,4.66
Bismil,75.0,TR,1553748600.0,100.0,37.85,40.66,9.0,1.0
San Luis,68.0,AR,1553750815.0,61.0,-33.3,-66.34,18.07,5.46
Ijuin,75.0,JP,1553749944.0,67.0,31.62,130.4,16.0,1.0
Dickinson,90.0,US,1553750721.0,74.0,46.88,-102.79,2.78,3.1
Meulaboh,32.0,ID,1553750816.0,100.0,4.14,96.13,28.47,2.96
Touros,40.0,BR,1553745600.0,100.0,-5.2,-35.46,24.0,1.5
Merauke,36.0,ID,1553750817.0,86.0,-8.49,140.4,30.07,5.06
Savannah Bight,92.0,HN,1553750817.0,95.0,16.45,-85.85,26.72,5.21
Suez,0.0,EG,1553750817.0,62.0,29.97,32.54,13.67,1.31
Namibe,12.0,AO,1553750817.0,98.0,-15.19,12.15,25.57,2.81
Gejiu,32.0,CN,1553750818.0,57.0,23.36,103.16,22.57,1.66
Guerrero Negro,76.0,MX,1553750818.0,99.0,27.97,-114.04,13.02,3.46
Portland,20.0,US,1553750714.0,93.0,45.52,-122.67,7.22,2.1
Grand Gaube,75.0,MU,1553750646.0,74.0,-20.01,57.66,29.0,5.7
Vila,0.0,IT,1553750783.0,74.0,45.18,8.4,8.33,2.6
Oranjemund,88.0,ZA,1553750819.0,100.0,-28.55,16.43,13.82,4.31
Goderich,44.0,CA,1553750639.0,63.0,43.74,-81.71,6.11,4.92
Galdar,20.0,ES,1553750733.0,77.0,28.15,-15.65,15.56,2.6
Butaritari,88.0,KI,1553750820.0,99.0,3.07,172.79,29.17,8.61
Villa Bruzual,0.0,VE,1553750820.0,76.0,9.33,-69.12,22.92,2.71
Estevan,75.0,CA,1553750571.0,77.0,49.14,-102.99,3.0,2.6
Qiongshan,20.0,CN,1553745600.0,55.0,20.01,110.35,32.0,3.0
Ananindeua,0.0,BR,1553749200.0,94.0,-1.37,-48.4,25.0,2.1
hvolsvollur,,,,,,,,
Teodoro Sampaio,0.0,BR,1553750821.0,67.0,-22.53,-52.17,23.62,7.46
Dustlik,68.0,UZ,1553750822.0,100.0,40.53,68.03,15.77,2.96
Marystown,0.0,CA,1553750160.0,100.0,47.17,-55.16,-7.22,1.81
kerki,,,,,,,,
Fereydunshahr,20.0,IR,1553750822.0,75.0,32.94,50.12,3.67,1.16
Rio Gallegos,0.0,AR,1553749200.0,86.0,-51.62,-69.22,5.0,2.6
Yar-Sale,12.0,RU,1553750823.0,94.0,66.83,70.83,-4.09,4.76
Rangapara,0.0,IN,1553750823.0,55.0,26.82,92.69,21.77,1.16
Dingle,20.0,PH,1553750823.0,78.0,11.0,122.67,28.77,4.86
ondorhaan,,,,,,,,
Husavik,32.0,CA,1553750697.0,90.0,50.56,-96.99,2.78,2.68
Jinchang,24.0,CN,1553750827.0,81.0,38.52,102.19,5.02,3.16
Berga,0.0,ES,1553750825.0,80.0,42.1,1.85,5.56,1.0
Saskylakh,0.0,RU,1553750668.0,87.0,71.97,114.09,-4.94,2.86
Lorengau,48.0,PG,1553750828.0,100.0,-2.02,147.27,27.97,3.76
Koumac,56.0,NC,1553750828.0,71.0,-20.56,164.28,27.97,3.11
Chifeng,80.0,CN,1553750829.0,60.0,42.27,118.96,2.97,1.36
saleaula,,,,,,,,
Waddan,8.0,LY,1553750829.0,57.0,29.16,16.14,17.27,3.66
Moussoro,0.0,TD,1553750829.0,16.0,13.64,16.49,24.52,6.26
Jalu,36.0,LY,1553750830.0,35.0,29.03,21.55,19.02,6.56
Lavrentiya,80.0,RU,1553750830.0,92.0,65.58,-170.99,0.02,9.96
Manokwari,20.0,ID,1553750830.0,98.0,-0.87,134.08,27.97,7.51
Guadalajara,0.0,ES,1553750526.0,47.0,40.63,-3.16,7.22,0.5
Sovetskiy,88.0,RU,1553750831.0,98.0,56.76,48.47,0.07,0.91
Khilok,68.0,RU,1553750831.0,34.0,51.36,110.46,-2.44,1.81
Banda Aceh,24.0,ID,1553750831.0,98.0,5.56,95.32,27.77,0.61
Ostrovnoy,8.0,RU,1553750832.0,87.0,68.05,39.51,-3.69,6.86
Birjand,0.0,IR,1553749200.0,59.0,32.86,59.22,17.0,2.1
Sault Sainte Marie,90.0,CA,1553749200.0,64.0,46.49,-84.36,7.0,7.86
Egvekinot,44.0,RU,1553750833.0,84.0,66.32,-179.17,-6.99,1.61
Dwarka,48.0,IN,1553750107.0,34.0,28.58,77.04,29.44,2.1
Novopavlovka,64.0,RU,1553750833.0,35.0,51.21,109.22,-1.69,2.21
Tamandare,76.0,BR,1553750833.0,91.0,-8.28,-70.75,23.57,1.76
Cukai,75.0,MY,1553749200.0,83.0,4.25,103.42,30.56,1.0
Coquimbo,90.0,CL,1553749200.0,87.0,-29.95,-71.34,14.0,2.6
Sur,0.0,OM,1553750834.0,83.0,22.57,59.53,25.77,2.36
Dulce Nombre de Culmi,48.0,HN,1553750835.0,87.0,15.08,-85.56,16.17,1.16
Tilichiki,20.0,RU,1553750835.0,80.0,60.47,166.1,-7.94,1.21
Comodoro Rivadavia,0.0,AR,1553749200.0,40.0,-45.87,-67.48,22.0,1.0
bardiyah,,,,,,,,
Sao Felix do Xingu,48.0,BR,1553750836.0,100.0,-6.64,-51.99,22.42,0.96
Port Hedland,0.0,AU,1553750816.0,78.0,-20.31,118.58,33.37,3.36
Sawtell,80.0,AU,1553750602.0,57.0,-30.38,153.1,27.0,4.1
East London,0.0,ZA,1553749200.0,72.0,-33.02,27.91,19.0,3.6
Edd,0.0,ER,1553750836.0,62.0,13.93,41.69,25.42,1.51
Mon,0.0,IN,1553750837.0,56.0,26.73,95.03,25.82,1.66
Sacramento,1.0,US,1553750807.0,76.0,38.58,-121.49,12.22,1.5
Barra,48.0,BR,1553750838.0,95.0,-11.09,-43.14,22.12,2.66
kapustin yar-1,,,,,,,,
Mirabad,76.0,IR,1553750838.0,51.0,28.27,61.33,19.97,6.46
katsiveli,,,,,,,,
Tevriz,8.0,RU,1553750839.0,77.0,57.51,72.4,3.37,1.56
Otane,92.0,NZ,1553750537.0,74.0,-39.89,176.62,15.56,0.89
Harbour Breton,0.0,CA,1553750160.0,100.0,47.48,-55.8,-7.22,1.06
Moron,80.0,VE,1553750839.0,95.0,10.49,-68.2,19.77,1.36
Bilma,44.0,NE,1553750792.0,31.0,18.69,12.92,17.42,1.76
El Cobre,40.0,CU,1553748600.0,78.0,20.05,-75.95,23.0,2.6
Aksu,75.0,KZ,1553749200.0,70.0,52.04,76.93,0.0,5.0
Xining,0.0,CN,1553750841.0,19.0,36.62,101.77,10.42,4.61
Mehamn,90.0,NO,1553748600.0,87.0,71.03,27.85,1.0,12.3
Barpeta,20.0,IN,1553749200.0,48.0,26.33,91.01,29.0,2.6
